"NUTS1","NUTS2","NUTS3","DISTRICT_CODE","Postal_CODE","Dog.Breed","Anzahl","Ref_Date"
"AT1","AT13","AT113",90100,1010,"Akita / Belgischer Schaeferhund",1,20231201
"AT1","AT13","AT113",90100,1010,"American Cocker Spaniel",2,20231201
"AT1","AT13","AT113",90100,1010,"American Staffordshire Terrier",1,20231201
"AT1","AT13","AT113",90100,1010,"Beagle",3,20231201
"AT1","AT13","AT113",90100,1010,"Beagle / Mischling",2,20231201
"AT1","AT13","AT113",90100,1010,"Berger Blanc Suisse / Pharaoh Hound",1,20231201
"AT1","AT13","AT113",90100,1010,"Berner Sennenhund",2,20231201
"AT1","AT13","AT113",90100,1010,"Bologneser",1,20231201
"AT1","AT13","AT113",90100,1010,"Border Collie / Australian Shepherd",1,20231201
"AT1","AT13","AT113",90100,1010,"Border Terrier",2,20231201
"AT1","AT13","AT113",90100,1010,"Bracke / Mischling",2,20231201
"AT1","AT13","AT113",90100,1010,"Brandlbracke",1,20231201
"AT1","AT13","AT113",90100,1010,"Bull Terrier (Standard)",1,20231201
"AT1","AT13","AT113",90100,1010,"Cao de Agua Portugues (Portug. Wasserhund)",3,20231201
"AT1","AT13","AT113",90100,1010,"Chihuahua Kurzhaar",15,20231201
"AT1","AT13","AT113",90100,1010,"Chihuahua Kurzhaar / Dackel",1,20231201
"AT1","AT13","AT113",90100,1010,"Chinese Crested Dog hairless",3,20231201
"AT1","AT13","AT113",90100,1010,"Chow-Chow",1,20231201
"AT1","AT13","AT113",90100,1010,"Ciobanesc Romanesc Carpatin / Mischling",1,20231201
"AT1","AT13","AT113",90100,1010,"Collie Kurzhaar (Smooth) / Border Collie",1,20231201
"AT1","AT13","AT113",90100,1010,"Collie Langhaar (Rough) / Mischling",1,20231201
"AT1","AT13","AT113",90100,1010,"Dackel",10,20231201
"AT1","AT13","AT113",90100,1010,"Deutsch Kurzhaar / Beagle",1,20231201
"AT1","AT13","AT113",90100,1010,"Deutsche Dogge blau",3,20231201
"AT1","AT13","AT113",90100,1010,"Deutscher Pinscher",1,20231201
"AT1","AT13","AT113",90100,1010,"Deutscher Pinscher / Schnauzer pfeffersalz",1,20231201
"AT1","AT13","AT113",90100,1010,"Deutscher Schaeferhund Langstockhaar / Deutscher Spitz",1,20231201
"AT1","AT13","AT113",90100,1010,"English Pointer / Mischling",1,20231201
"AT1","AT13","AT113",90100,1010,"English Springer Spaniel / Braque Saint-Germain",1,20231201
"AT1","AT13","AT113",90100,1010,"Flat-Coated Retriever",4,20231201
"AT1","AT13","AT113",90100,1010,"Fox Terrier drahthaar",1,20231201
"AT1","AT13","AT113",90100,1010,"Golden Retriever",14,20231201
"AT1","AT13","AT113",90100,1010,"Golden Retriever / English Cocker Spaniel mehrfaerbig",1,20231201
"AT1","AT13","AT113",90100,1010,"Grosspudel Apricot",2,20231201
"AT1","AT13","AT113",90100,1010,"Havaneser",11,20231201
"AT1","AT13","AT113",90100,1010,"Hovawart",1,20231201
"AT1","AT13","AT113",90100,1010,"Hovawart / Golden Retriever",1,20231201
"AT1","AT13","AT113",90100,1010,"Irish Red and White Setter",1,20231201
"AT1","AT13","AT113",90100,1010,"Irish Red Setter",1,20231201
"AT1","AT13","AT113",90100,1010,"Italienisches Windspiel",2,20231201
"AT1","AT13","AT113",90100,1010,"King Charles Spaniel",2,20231201
"AT1","AT13","AT113",90100,1010,"Klein- oder Mittelpudel",1,20231201
"AT1","AT13","AT113",90100,1010,"Klein- oder Mittelpudel / Mischling",2,20231201
"AT1","AT13","AT113",90100,1010,"Kooikerhondje",1,20231201
"AT1","AT13","AT113",90100,1010,"Kurzhaar Dachshund Kaninchen",1,20231201
"AT1","AT13","AT113",90100,1010,"Kurzhaar Dachshund Zwerg",3,20231201
"AT1","AT13","AT113",90100,1010,"Labrador Retriever",27,20231201
"AT1","AT13","AT113",90100,1010,"Labrador Retriever / Grosspudel Apricot",1,20231201
"AT1","AT13","AT113",90100,1010,"Labrador Retriever / Grosspudel Rot",1,20231201
"AT1","AT13","AT113",90100,1010,"Labrador Retriever / Mischling",12,20231201
"AT1","AT13","AT113",90100,1010,"Labrador Retriever / Siberian Husky",1,20231201
"AT1","AT13","AT113",90100,1010,"Lagotto romagnolo",4,20231201
"AT1","AT13","AT113",90100,1010,"Lhasa Apso",2,20231201
"AT1","AT13","AT113",90100,1010,"Malteser",15,20231201
"AT1","AT13","AT113",90100,1010,"Malteser / Kleinpudel Rot",1,20231201
"AT1","AT13","AT113",90100,1010,"Malteser / Labrador Retriever",1,20231201
"AT1","AT13","AT113",90100,1010,"Malteser / Pudelpointer",1,20231201
"AT1","AT13","AT113",90100,1010,"Malteser / Zwergpudel Braun",1,20231201
"AT1","AT13","AT113",90100,1010,"Malteser / Zwergspitz (Pomeranian)",1,20231201
"AT1","AT13","AT113",90100,1010,"Miniatur Bull Terrier",1,20231201
"AT1","AT13","AT113",90100,1010,"Mops (Carlin)",6,20231201
"AT1","AT13","AT113",90100,1010,"Mops (Carlin) / Mischling",1,20231201
"AT1","AT13","AT113",90100,1010,"Neufundlaender",2,20231201
"AT1","AT13","AT113",90100,1010,"Nova Scotia Duck Tolling Retriever / Mischling",1,20231201
"AT1","AT13","AT113",90100,1010,"Oesterreichischer Pinscher / Berner Sennenhund",1,20231201
"AT1","AT13","AT113",90100,1010,"Oesterreichischer Pinscher / Labrador Retriever",1,20231201
"AT1","AT13","AT113",90100,1010,"Oesterreichischer Pinscher / Mischling",1,20231201
"AT1","AT13","AT113",90100,1010,"Parson Russell Terrier",7,20231201
"AT1","AT13","AT113",90100,1010,"Pekingese / Mischling",1,20231201
"AT1","AT13","AT113",90100,1010,"Pudel",3,20231201
"AT1","AT13","AT113",90100,1010,"Pudel / Mischling",1,20231201
"AT1","AT13","AT113",90100,1010,"Pudelpointer",1,20231201
"AT1","AT13","AT113",90100,1010,"Rauhhaar Dachshund Kaninchen",1,20231201
"AT1","AT13","AT113",90100,1010,"Rauhhaar Dachshund Zwerg",2,20231201
"AT1","AT13","AT113",90100,1010,"Rhodesian Ridgeback",1,20231201
"AT1","AT13","AT113",90100,1010,"Rhodesian Ridgeback / Labrador Retriever",1,20231201
"AT1","AT13","AT113",90100,1010,"Russkiy Toy Kurzhaar",1,20231201
"AT1","AT13","AT113",90100,1010,"Shiba",5,20231201
