"date","federal_state","company","arrivals","nights"
"1973-11","W96-9",1,39413,98124
"1973-11","W96-9",2,19529,54998
"1973-11","W96-9",3,14824,49646
"1973-11","W96-9",70,125,256
"1973-11","W96-9",81,4313,20753
"1973-11","W96-9",84,215,642
"1973-11","W96-9",75,86,443
"1973-12","W96-9",1,27887,73024
"1973-12","W96-9",2,16021,48137
"1973-12","W96-9",3,12271,43431
"1973-12","W96-9",70,32,85
"1973-12","W96-9",81,2544,11614
"1973-12","W96-9",84,160,539
"1973-12","W96-9",75,63,376
"1974-01","W96-9",1,25933,66036
"1974-01","W96-9",2,13884,41729
"1974-01","W96-9",3,10127,40111
"1974-01","W96-9",70,39,364
"1974-01","W96-9",81,3190,17514
"1974-01","W96-9",84,99,436
"1974-01","W96-9",75,84,500
"1974-02","W96-9",1,27246,66783
"1974-02","W96-9",2,12908,38261
"1974-02","W96-9",3,9533,39655
"1974-02","W96-9",70,29,93
"1974-02","W96-9",81,2693,16062
"1974-02","W96-9",84,164,566
"1974-02","W96-9",75,57,473
"1974-03","W96-9",1,39387,95805
"1974-03","W96-9",2,20951,59398
"1974-03","W96-9",3,15007,48051
"1974-03","W96-9",70,57,163
"1974-03","W96-9",81,4633,20410
"1974-03","W96-9",84,215,709
"1974-03","W96-9",75,87,529
"1974-04","W96-9",1,53490,147454
"1974-04","W96-9",2,33341,95275
"1974-04","W96-9",3,23570,66109
"1974-04","W96-9",70,2156,6512
"1974-04","W96-9",81,6186,22900
"1974-04","W96-9",84,234,805
"1974-04","W96-9",75,108,489
"1974-05","W96-9",1,67348,179597
"1974-05","W96-9",2,37701,105407
"1974-05","W96-9",3,27775,74226
"1974-05","W96-9",70,3831,9434
"1974-05","W96-9",81,5328,23802
"1974-05","W96-9",84,362,863
"1974-05","W96-9",75,98,498
"1974-06","W96-9",1,66714,176820
"1974-06","W96-9",2,40009,110899
"1974-06","W96-9",3,31418,79547
"1974-06","W96-9",70,8319,21544
"1974-06","W96-9",81,6605,22210
"1974-06","W96-9",84,288,717
"1974-06","W96-9",75,88,491
"1974-07","W96-9",1,74556,190496
"1974-07","W96-9",2,44533,116905
"1974-07","W96-9",3,33596,86863
"1974-07","W96-9",70,22694,53591
"1974-07","W96-9",81,7552,20566
"1974-07","W96-9",84,249,608
"1974-07","W96-9",75,76,362
"1974-08","W96-9",1,80101,213114
"1974-08","W96-9",2,51575,139366
"1974-08","W96-9",3,37773,95650
"1974-08","W96-9",70,25367,63183
"1974-08","W96-9",81,8241,23156
"1974-08","W96-9",84,302,831
"1974-08","W96-9",75,41,216
"1974-09","W96-9",1,89090,239459
"1974-09","W96-9",2,51100,138501
"1974-09","W96-9",3,35103,92471
"1974-09","W96-9",70,6602,16959
"1974-09","W96-9",81,5632,20160
"1974-09","W96-9",84,261,640
"1974-09","W96-9",75,78,387
"1974-10","W96-9",1,61254,170564
"1974-10","W96-9",2,31763,93202
"1974-10","W96-9",3,25706,70074
"1974-10","W96-9",70,1562,3907
"1974-10","W96-9",81,4340,18248
"1974-10","W96-9",84,203,600
"1974-10","W96-9",75,79,508
"1974-11","W96-9",1,40048,98047
"1974-11","W96-9",2,18491,52181
"1974-11","W96-9",3,13932,39490
"1974-11","W96-9",70,149,441
"1974-11","W96-9",81,2259,10625
"1974-11","W96-9",84,220,526
"1974-11","W96-9",75,101,505
"1974-12","W96-9",1,30834,78131
"1974-12","W96-9",2,16417,45869
"1974-12","W96-9",3,11600,35331
"1974-12","W96-9",70,54,327
"1974-12","W96-9",81,2108,8700
"1974-12","W96-9",84,133,480
"1974-12","W96-9",75,53,318
"1975-01","W96-9",1,27068,68066
"1975-01","W96-9",2,13265,38958
"1975-01","W96-9",3,9860,31997
"1975-01","W96-9",70,46,159
"1975-01","W96-9",81,1978,9312
"1975-01","W96-9",84,117,259
"1975-01","W96-9",75,81,413
"1975-02","W96-9",1,27567,70995
"1975-02","W96-9",2,12642,35296
"1975-02","W96-9",3,9230,31166
"1975-02","W96-9",70,40,149
"1975-02","W96-9",81,1972,10926
"1975-02","W96-9",84,169,316
"1975-02","W96-9",75,62,329
"1975-03","W96-9",1,42892,118636
"1975-03","W96-9",2,25765,72257
"1975-03","W96-9",3,18410,53202
"1975-03","W96-9",70,555,1743
"1975-03","W96-9",81,3772,13307
"1975-03","W96-9",84,206,465
"1975-03","W96-9",75,86,421
"1975-04","W96-9",1,47939,121766
"1975-04","W96-9",2,26516,76193
"1975-04","W96-9",3,19626,54954
"1975-04","W96-9",70,994,3128
"1975-04","W96-9",81,4400,19267
"1975-04","W96-9",84,240,588
"1975-04","W96-9",75,112,453
"1975-05","W96-9",1,70392,191712
"1975-05","W96-9",2,40574,113751
"1975-05","W96-9",3,30643,80825
"1975-05","W96-9",70,3557,10217
"1975-05","W96-9",81,4551,19057
"1975-05","W96-9",84,302,750
"1975-05","W96-9",75,66,342
"1975-06","W96-9",1,65910,170148
"1975-06","W96-9",2,37152,102375
"1975-06","W96-9",3,28229,73319
"1975-06","W96-9",70,8237,20004
"1975-06","W96-9",81,5781,20017
"1975-06","W96-9",84,217,505
"1975-06","W96-9",75,106,451
"1975-07","W96-9",1,73741,206588
"1975-07","W96-9",2,47911,136729
"1975-07","W96-9",3,32392,90853
"1975-07","W96-9",70,21842,55891
"1975-07","W96-9",81,7774,20680
"1975-07","W96-9",84,243,606
"1975-07","W96-9",75,77,319
"1975-08","W96-9",1,76718,192930
"1975-08","W96-9",2,50146,132198
"1975-08","W96-9",3,34996,84720
"1975-08","W96-9",70,22142,57202
"1975-08","W96-9",81,7403,18491
"1975-08","W96-9",84,280,737
"1975-08","W96-9",75,46,226
"1975-09","W96-9",1,94701,249489
"1975-09","W96-9",2,48577,136614
"1975-09","W96-9",3,31189,83268
"1975-09","W96-9",70,6330,15020
"1975-09","W96-9",81,5386,19861
"1975-09","W96-9",84,258,715
"1975-09","W96-9",75,79,450
"1975-10","W96-9",1,74084,202584
"1975-10","W96-9",2,35074,104220
"1975-10","W96-9",3,24184,67999
"1975-10","W96-9",70,1617,4519
"1975-10","W96-9",81,5000,18352
"1975-10","W96-9",84,294,865
"1975-10","W96-9",75,94,549
"1975-11","W96-9",1,44749,131397
"1975-11","W96-9",2,20412,53576
"1975-11","W96-9",3,13397,38955
"1975-11","W96-9",70,233,856
"1975-11","W96-9",81,2841,10333
"1975-11","W96-9",84,219,734
"1975-11","W96-9",75,102,428
"1975-12","W96-9",1,35591,96317
"1975-12","W96-9",2,17475,48667
"1975-12","W96-9",3,11515,34430
"1975-12","W96-9",70,32,210
"1975-12","W96-9",81,1760,8250
"1975-12","W96-9",84,210,566
"1975-12","W96-9",75,68,453
"1976-01","W96-9",1,28748,82798
"1976-01","W96-9",2,13879,40009
"1976-01","W96-9",3,9914,32853
"1976-01","W96-9",70,38,112
"1976-01","W96-9",81,1628,6265
"1976-01","W96-9",84,143,339
"1976-01","W96-9",75,68,404
"1976-02","W96-9",1,29511,71866
"1976-02","W96-9",2,13200,34318
"1976-02","W96-9",3,8833,28053
"1976-02","W96-9",70,24,164
"1976-02","W96-9",81,1823,5560
"1976-02","W96-9",84,153,379
"1976-02","W96-9",75,87,470
"1976-03","W96-9",1,47735,129150
"1976-03","W96-9",2,22234,60607
"1976-03","W96-9",3,13188,40224
"1976-03","W96-9",70,90,301
"1976-03","W96-9",81,3436,15457
"1976-03","W96-9",84,242,566
"1976-03","W96-9",75,86,478
"1976-04","W96-9",1,57403,158642
"1976-04","W96-9",2,32240,92499
"1976-04","W96-9",3,21823,63064
"1976-04","W96-9",70,1468,4980
"1976-04","W96-9",81,4528,17487
"1976-04","W96-9",84,284,726
"1976-04","W96-9",75,95,479
"1976-05","W96-9",1,77240,217539
"1976-05","W96-9",2,37774,109647
"1976-05","W96-9",3,25891,76345
"1976-05","W96-9",70,3014,8111
"1976-05","W96-9",81,4423,21210
"1976-05","W96-9",84,302,730
"1976-05","W96-9",75,103,571
"1976-06","W96-9",1,69404,206751
"1976-06","W96-9",2,33343,111580
"1976-06","W96-9",3,24046,73244
"1976-06","W96-9",70,8982,21469
"1976-06","W96-9",81,6370,22742
"1976-06","W96-9",84,285,693
"1976-06","W96-9",75,84,425
"1976-07","W96-9",1,85395,225666
"1976-07","W96-9",2,47848,129162
"1976-07","W96-9",3,31725,80558
"1976-07","W96-9",70,22251,55610
"1976-07","W96-9",81,7179,18435
"1976-07","W96-9",84,226,436
"1976-07","W96-9",75,87,431
"1976-08","W96-9",1,88606,233677
"1976-08","W96-9",2,50288,136788
"1976-08","W96-9",3,34053,84725
"1976-08","W96-9",70,22011,57978
"1976-08","W96-9",81,6936,16285
"1976-08","W96-9",84,316,772
"1976-08","W96-9",75,67,409
"1976-09","W96-9",1,100664,273756
"1976-09","W96-9",2,47331,136300
"1976-09","W96-9",3,30334,82956
"1976-09","W96-9",70,5721,13652
"1976-09","W96-9",81,5173,18607
"1976-09","W96-9",84,310,753
"1976-09","W96-9",75,90,516
"1976-10","W96-9",1,72504,210228
"1976-10","W96-9",2,32785,98591
"1976-10","W96-9",3,24977,66398
"1976-10","W96-9",70,1590,4473
