"date","federal_state","company","arrivals","nights"
"1973-11","W96-1",1,361,3074
"1973-11","W96-1",2,2324,9508
"1973-11","W96-1",3,2550,7160
"1973-11","W96-1",81,558,1288
"1973-11","W96-1",71,249,7928
"1973-11","W96-1",84,216,475
"1973-11","W96-1",60,226,1732
"1973-11","W96-1",72,97,1683
"1973-11","W96-1",74,146,3205
"1973-11","W96-1",998,129,383
"1973-11","W96-1",999,14,39
"1973-11","W96-2",1,5182,9275
"1973-11","W96-2",2,2977,4929
"1973-11","W96-2",3,7464,16909
"1973-11","W96-2",70,17,139
"1973-11","W96-2",81,305,605
"1973-11","W96-2",83,3,21
"1973-11","W96-2",84,12,320
"1973-11","W96-2",60,333,2112
"1973-11","W96-2",74,61,1830
"1973-11","W96-2",999,76,327
"1973-11","W96-3",1,3528,10798
"1973-11","W96-3",2,7284,27295
"1973-11","W96-3",3,14937,53798
"1973-11","W96-3",70,369,818
"1973-11","W96-3",81,162,422
"1973-11","W96-3",73,98,1730
"1973-11","W96-3",71,1207,24707
"1973-11","W96-3",83,249,310
"1973-11","W96-3",84,438,3365
"1973-11","W96-3",60,2416,22680
"1973-11","W96-3",75,219,8484
"1973-11","W96-3",74,1927,32782
"1973-11","W96-3",998,275,1315
"1973-11","W96-3",999,292,1713
"1973-11","W96-4",1,7421,23449
"1973-11","W96-4",2,12332,36677
"1973-11","W96-4",3,11836,63028
"1973-11","W96-4",70,9,35
"1973-11","W96-4",81,505,1565
"1973-11","W96-4",73,293,5678
"1973-11","W96-4",71,2006,45643
"1973-11","W96-4",83,38,78
"1973-11","W96-4",84,631,4277
"1973-11","W96-4",60,1296,14148
"1973-11","W96-4",75,51,4805
"1973-11","W96-4",72,450,11878
"1973-11","W96-4",74,629,7299
"1973-11","W96-4",998,96,290
"1973-11","W96-4",999,511,2322
"1973-11","W96-5",1,11312,25930
"1973-11","W96-5",2,16357,39886
"1973-11","W96-5",3,14257,39036
"1973-11","W96-5",70,4,44
"1973-11","W96-5",81,2383,5977
"1973-11","W96-5",73,30,440
"1973-11","W96-5",71,1322,24221
"1973-11","W96-5",83,704,1725
"1973-11","W96-5",84,384,1737
"1973-11","W96-5",60,1270,8249
"1973-11","W96-5",72,140,2251
"1973-11","W96-5",74,121,2152
"1973-11","W96-5",998,285,695
"1973-11","W96-5",999,825,6755
"1973-11","W96-6",1,12488,22954
"1973-11","W96-6",2,9599,21029
"1973-11","W96-6",3,19429,65641
"1973-11","W96-6",70,190,204
"1973-11","W96-6",81,1042,3137
"1973-11","W96-6",73,60,2635
